Day,MA Total,Barnstable,Berkshire,Bristol,Dukes and Nantucket,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester,Unknown
3-20,413,9,20,6,0,29,1,3,2,144,64,11,86,19,19
3-21,525,11,21,14,1,41,2,9,2,177,69,20,108,24,26
3-22,646,24,23,24,1,60,2,12,4,199,75,25,126,37,34
3-23,777,30,26,25,1,73,2,15,6,232,82,32,154,42,57
3-24,1159,40,37,31,2,118,5,24,8,304,129,64,234,73,90
3-25,1838,51,71,67,3,177,14,45,11,446,222,101,342,129,159
3-26,2417,67,73,90,3,247,16,55,17,538,292,138,448,166,267
3-27,3240,100,105,129,4,350,24,90,20,685,393,187,631,219,303
3-28,4257,133,119,179,8,472,39,183,30,842,490,272,843,291,356
3-29,4955,148,151,208,8,570,41,201,37,981,548,325,940,337,460
